RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
6037,15687218,West,674,France,Female,27,4,79144.34,1,0,1,50743.83,0
6536,15776985,Kung,652,France,Female,36,6,112518.71,2,0,1,110421.31,0
3966,15775892,Caldwell,748,Spain,Female,23,8,85600.08,1,0,0,134077.71,0
5425,15566253,Manning,580,Germany,Male,44,9,143391.07,1,0,0,146891.07,1
3531,15623712,Coates,453,Spain,Female,42,5,0.0,3,1,0,83008.49,1
2075,15805303,Olisanugo,661,Germany,Male,44,1,141136.62,1,1,0,189742.78,1
9793,15787168,Y?,819,Spain,Female,28,8,168253.21,1,1,1,102799.14,0
8402,15663134,Uspenskaya,535,Spain,Male,58,1,0.0,2,1,1,11779.98,1
2348,15746708,Ritchie,589,Germany,Male,55,7,119961.48,1,1,0,65156.83,1
5640,15801316,Ifeatu,523,France,Male,61,8,66250.71,1,1,1,21859.06,0
2100,15593295,Greathouse,548,France,Male,57,6,76165.65,1,1,1,133537.53,0
2776,15782468,Hart,850,Spain,Male,51,3,109799.55,2,1,1,12457.76,1
2775,15650034,Kudryashova,564,France,Female,28,1,0.0,1,1,1,162428.05,0
9002,15733111,Yeh,688,Spain,Male,32,6,124179.3,1,1,1,138759.15,0
4511,15657747,Zito,611,Germany,Female,43,9,127216.31,2,0,1,17913.25,0
8637,15582892,Scott,601,France,Male,46,2,99786.07,1,1,1,32683.88,1
7885,15616530,Foran,638,France,Male,36,6,188455.19,1,0,0,47031.4,1
1116,15626608,Howarde,479,Spain,Male,48,5,87070.23,1,0,1,85646.41,0
1526,15568360,Rolon,569,Spain,Female,41,4,139840.36,1,1,1,163524.7,0
4625,15710543,Okwuoma,629,France,Male,46,1,130666.2,1,1,1,161125.67,1
7072,15709459,Oluchi,698,Spain,Female,63,5,0.0,1,1,1,173576.71,0
4421,15571261,Toscani,714,Germany,Female,35,6,126077.43,2,1,1,53954.24,0
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0
7533,15706602,Bates,760,Spain,Female,33,1,118114.28,2,0,1,156660.21,0
3432,15688193,Graham,468,France,Male,36,3,61636.97,1,0,0,107787.42,0
4665,15580719,Davis,697,France,Female,23,10,0.0,2,1,1,79734.23,0
7026,15711446,Sinclair,569,Spain,Female,51,3,0.0,3,1,0,75084.96,1
8799,15630349,Hollis,543,Spain,Male,23,5,0.0,2,1,0,117832.39,0
5582,15812850,Stradford,494,Spain,Male,67,5,0.0,2,1,1,85890.16,0
9877,15578374,Gilroy,620,Spain,Male,36,7,169312.72,1,1,0,45414.09,0
9210,15570681,Chiang,560,France,Male,24,1,116084.32,1,1,0,89734.7,0
7454,15702571,Wright,778,Germany,Female,35,1,151958.19,3,1,1,131238.37,1
2662,15688409,Donaldson,742,France,Female,28,2,191864.51,1,1,0,108457.99,1
2002,15734311,Hamilton,661,France,Female,27,3,0.0,2,1,1,76889.79,0
1794,15777922,Afamefuna,629,Spain,Male,36,1,161757.87,2,1,1,146371.72,0
8358,15603035,Vincent,651,France,Male,34,3,0.0,2,1,1,105599.65,0
2543,15791102,Mai,549,Germany,Male,41,9,95020.8,3,1,1,131710.59,1
2786,15771417,Thomas,640,France,Male,43,7,132412.38,1,0,0,69584.3,1
3870,15674929,Anderson,512,France,Female,31,7,0.0,2,0,0,49326.07,0
2656,15643658,Barber,850,Germany,Male,53,2,94078.97,2,1,0,36980.54,0
7162,15775235,Ku,690,France,Female,36,6,110480.48,1,0,0,81292.33,0
1717,15799479,Coles,809,Spain,Male,33,9,0.0,1,1,1,124045.65,0
8798,15630466,Maclean,797,France,Male,45,8,0.0,1,0,0,125110.02,0
530,15694272,Nkemakolam,673,France,Male,30,1,64097.75,1,1,1,77783.35,0
8124,15608956,Su,711,France,Male,33,1,0.0,1,0,0,41590.4,0
9511,15735849,Kanayochukwu,617,France,Female,26,2,165947.99,2,0,1,168834.38,0
3826,15762928,Venables,548,Spain,Male,44,8,0.0,1,1,0,16989.77,0
3390,15724863,Sheppard,420,Spain,Female,55,4,91893.32,1,1,0,144870.28,1
9290,15676810,Jen,561,France,Female,31,1,81480.27,2,1,1,65234.6,0
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0
3227,15796351,Yao,603,Germany,Male,35,1,105346.03,2,1,1,130379.5,0
3520,15594878,Thompson,661,Spain,Female,41,5,28082.95,1,1,0,69586.27,1
6332,15701074,Herz,629,Germany,Male,35,8,112330.83,1,1,1,91001.02,0
623,15636444,Craig,535,Germany,Female,53,5,141616.55,2,1,1,75888.65,0
455,15726631,Hilton,758,France,Female,39,6,127357.76,1,0,1,56577.0,0
9682,15607301,Romano,651,Spain,Female,63,8,129968.67,1,1,1,11830.53,0
6142,15809302,Wright,572,France,Male,24,1,0.0,2,1,1,151460.84,0
8932,15761487,Yefimova,678,France,Female,55,5,0.0,1,0,1,196794.11,1
8192,15759480,H?,644,France,Female,40,10,139180.97,1,1,1,19959.67,0
1498,15694296,Chineze,631,France,Male,35,9,112392.45,2,1,0,24472.23,0
2548,15634772,Mario,682,Spain,Female,59,0,122661.39,1,0,1,84803.76,0
5842,15737267,Marcelo,676,France,Female,49,1,0.0,1,1,0,79342.31,1
6968,15644934,Gentry,466,France,Male,26,9,105522.06,1,1,0,10842.46,0
777,15712551,Shen,622,Germany,Female,58,7,116922.25,1,1,0,120415.61,1
1763,15815660,Mazzi,758,France,Female,34,1,154139.45,1,1,1,60728.89,0
879,15656333,Jen,574,France,Female,33,3,134348.57,1,1,0,63163.99,0
1466,15753566,Espinosa,806,France,Female,32,3,63763.49,1,1,0,156593.09,0
3492,15751593,Fraser,570,Germany,Male,35,6,85668.59,1,1,0,105525.36,0
274,15725166,Newton,707,France,Male,30,8,0.0,2,1,0,33159.37,0
2746,15669957,Drake,655,Germany,Male,52,9,144696.75,1,1,1,49025.79,0
5909,15641934,Manna,749,Spain,Female,46,9,66582.81,1,1,0,78753.12,1
1802,15774931,She,452,France,Male,30,7,112935.87,1,1,1,99017.34,0
1621,15657386,Fiorentini,712,Germany,Male,43,1,141749.74,2,0,1,90905.26,0
2945,15798850,Goddard,576,France,Male,32,7,0.0,2,1,0,4660.91,0
3967,15782778,Ewers,815,France,Male,35,4,0.0,2,0,1,198490.33,0
3849,15577831,Byrne,560,Germany,Male,41,4,152532.3,1,0,0,10779.69,0
7684,15740356,Palmer,660,Germany,Male,26,4,115021.76,1,0,1,162443.05,0
7183,15573520,Rhodes,692,Germany,Male,49,6,110540.43,2,0,1,107472.99,0
5617,15585256,Iloerika,805,Spain,Male,26,2,0.0,2,1,1,25042.1,0
8644,15813660,Forlonge,754,Spain,Male,40,2,160625.17,1,0,1,3554.63,0
3063,15697574,Stewart,582,France,Female,40,9,0.0,3,1,1,60954.45,0
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0
8695,15742116,Torres,671,Germany,Female,48,9,116711.06,2,0,0,76373.38,0
9377,15657306,Kershaw,567,France,Female,47,2,0.0,1,0,0,110900.43,1
4568,15768530,Emery,554,Spain,Female,27,4,0.0,2,1,1,135083.73,0
1469,15814846,Ozerova,691,France,Male,52,3,0.0,1,1,0,175843.68,1
6197,15576304,Bailey,698,France,Male,29,5,95167.55,1,1,1,152723.23,0
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0
5953,15657535,Pearson,590,Spain,Male,29,10,0.0,1,1,1,51907.72,1
8049,15595713,Heller,548,Spain,Male,33,6,0.0,1,1,1,31728.35,0
1036,15652955,Price,678,Spain,Male,30,0,0.0,1,1,0,35113.08,0
2001,15613656,Lombardi,842,France,Male,58,1,63492.94,1,1,1,83172.19,0
2486,15659501,Chioke,753,France,Female,38,6,142263.45,1,0,1,33730.43,0
212,15624592,Tan,603,France,Male,31,8,0.0,2,1,1,169915.02,0
3188,15713912,Nebechukwu,516,Spain,Female,45,8,109044.3,1,0,1,115818.16,0
5664,15765287,Grant,850,France,Female,38,2,0.0,2,1,0,9015.07,0
4990,15602851,Ozioma,629,France,Male,40,9,0.0,1,1,0,106.67,0
2771,15693347,Gardener,676,France,Female,32,5,0.0,2,1,1,75465.41,0
4954,15684516,Plascencia,629,Spain,Male,34,1,121151.05,1,0,0,119357.93,0
8418,15689288,Folliero,630,France,Female,26,5,0.0,2,1,0,182612.38,0
8987,15607990,Gallo,760,Spain,Male,43,6,175735.5,1,1,1,157337.29,0
9170,15659002,Mazzanti,766,France,Female,45,6,0.0,2,0,0,147184.74,0
1254,15699523,Chu,499,Germany,Female,55,4,126817.65,2,1,0,123269.71,0
4577,15770984,Fanucci,697,Spain,Female,40,7,130334.35,2,0,1,116951.1,0
5292,15575510,Milanesi,659,France,Female,32,2,155584.21,1,0,1,153662.88,0
2873,15671591,Castiglione,439,Spain,Male,52,3,96196.24,4,1,0,198874.52,1
3733,15689598,Dean,722,France,Male,46,6,0.0,1,1,1,93917.68,1
133,15677871,Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0
4327,15764284,Torres,714,Spain,Male,27,3,0.0,3,1,1,129130.09,0
6393,15701352,Fanucci,611,Spain,Female,28,3,96381.68,2,1,0,181419.29,0
5682,15720706,Hsing,529,Spain,Female,39,2,82766.43,1,1,1,122925.44,0
342,15786170,Tien,659,France,Male,31,4,118342.26,1,0,0,161574.19,0
1419,15649280,Lucchese,521,Germany,Female,40,9,134504.78,1,1,0,18082.06,0
7182,15621423,Lavrentyev,736,France,Female,42,7,117280.23,3,0,0,41921.06,1
2027,15603088,Rossi,451,Spain,Female,23,9,0.0,2,0,1,48021.71,0
7393,15795079,Nnaife,596,Spain,Male,67,6,0.0,2,1,1,138350.74,0
6438,15725094,Fang,623,France,Female,37,4,140211.88,1,1,1,93832.33,0
8413,15575147,Wall,699,France,Male,22,9,99339.0,1,1,0,68297.61,1
8643,15810203,Manning,499,Germany,Female,44,6,77627.33,2,1,0,108222.68,0
9230,15629010,Beam,847,Germany,Female,35,5,111743.43,1,1,1,183584.14,0
4767,15719858,Chao,659,Spain,Female,38,9,0.0,2,1,1,35701.06,0
6756,15683483,Fleming,812,Spain,Male,38,3,127117.8,2,1,1,174822.74,0
6589,15693817,Ferrari,539,Spain,Male,28,5,0.0,2,1,0,48382.4,0
1994,15787189,Tai,824,Germany,Male,60,8,134250.17,3,0,0,153046.16,1
2681,15813532,Burns,625,France,Female,39,5,0.0,2,1,0,32615.21,0
1500,15583595,Tao,461,France,Female,28,8,0.0,1,1,1,103349.74,0
8779,15761606,Law,617,Spain,Female,37,9,101707.8,1,1,0,123866.28,0
8732,15769125,Palerma,727,Spain,Female,41,10,0.0,2,0,1,47468.56,0
6350,15699507,Messersmith,542,France,Female,25,7,0.0,2,0,1,82393.08,0
6649,15731751,Osinachi,437,France,Female,26,1,120923.52,1,0,1,78854.57,0
864,15614215,Oguejiofor,717,France,Male,53,6,0.0,2,0,1,97614.87,0
4036,15792607,Little,769,France,Female,38,2,0.0,2,0,0,75578.67,0
9505,15591724,Liu,560,France,Female,44,5,143244.97,1,1,0,98661.27,0
4598,15677105,Rossi,706,Germany,Female,46,4,105214.58,1,1,0,108699.59,1
6283,15761340,Bullen,521,France,Male,22,5,0.0,2,1,1,99828.45,0
8193,15587712,Chimaijem,589,France,Male,36,8,114435.47,1,1,0,26955.72,0
7911,15615177,Ebelegbulam,561,Spain,Male,28,6,123692.0,1,1,1,70548.96,0
2263,15586264,Murray,572,France,Male,43,2,140431.98,1,1,0,26450.57,1
9448,15810390,Amadi,718,France,Female,41,1,0.0,2,0,1,27509.52,1
1911,15811261,Alaniz,617,Spain,Male,42,0,70105.87,1,1,1,120830.73,0
6643,15724924,Giordano,589,France,Female,37,6,138497.84,1,0,1,18988.58,0
1637,15718944,Artemiev,573,France,Female,37,6,0.0,2,1,0,193995.37,0
636,15633648,Jideofor,696,Spain,Female,51,5,0.0,2,1,0,55022.43,0
5516,15742534,Faulk,527,Germany,Female,28,2,123802.98,2,1,1,155846.69,0
2805,15751175,Bess,648,France,Female,44,2,0.0,2,1,1,58652.23,0
6135,15769781,Nucci,699,Spain,Female,25,8,0.0,2,1,1,52404.47,0
9752,15789339,Yen,681,France,Male,59,4,122781.51,1,0,1,140166.95,0
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0
3707,15657565,Nwokezuike,629,Spain,Female,44,6,125512.98,2,0,0,79082.76,0
2621,15685300,Meng,603,France,Male,35,6,128993.76,2,1,0,130483.56,0
7284,15795690,Shao,667,France,Male,31,3,99513.91,1,1,1,189657.26,0
5607,15741988,Marino,492,Germany,Female,52,8,125396.24,1,1,0,10014.72,1
7781,15677387,Folliero,749,Germany,Female,33,10,76692.22,1,0,1,30396.43,0
6388,15810807,Alekseeva,513,France,Female,43,9,0.0,2,1,0,152499.8,0
989,15664521,David,659,Spain,Male,31,7,149620.88,2,1,1,104533.51,0
6426,15566894,Gray,793,France,Male,39,3,137817.52,1,0,0,83997.79,0
4543,15585455,Stewart,630,France,Male,28,9,0.0,2,0,0,32599.35,0
4866,15734438,Kanayochukwu,590,France,Female,29,4,0.0,2,1,0,121846.81,0
1232,15749482,Zack,772,Spain,Male,30,4,78653.05,1,1,0,1790.48,0
8297,15704466,Udokamma,692,France,Female,34,7,0.0,2,1,0,195074.62,0
4055,15734762,Ignatiev,602,France,Female,56,3,115895.22,3,1,0,4176.17,1
9552,15688563,Marchesi,694,Germany,Male,31,4,141989.27,2,1,0,26116.82,0
406,15692761,Pratt,718,France,Male,36,9,0.0,1,1,0,45909.87,0
217,15680920,Marchesi,695,France,Male,46,7,49512.55,1,1,0,133007.34,0
5655,15747458,Folliero,677,Spain,Female,43,3,133214.88,2,1,1,95936.84,0
2071,15750684,Jibunoh,719,France,Female,42,4,0.0,1,1,0,28465.86,1
5482,15606397,Cameron,577,Germany,Female,44,1,152086.15,1,0,1,44719.5,1
7797,15773949,Cherkasova,692,France,Female,36,3,0.0,2,1,1,8282.22,0
9175,15628059,DeRose,529,France,Male,61,1,0.0,2,1,1,191370.97,0
5504,15631739,Dunn,704,Spain,Male,24,10,122109.78,1,1,1,127654.37,0
7337,15801072,Hurst,654,France,Female,28,7,0.0,2,1,0,151316.37,0
4757,15778005,Kemp,785,France,Female,39,1,130147.98,1,1,0,163798.41,1
5021,15669589,Page,491,Germany,Female,68,1,95039.12,1,0,1,116471.14,1
9232,15767781,Godfrey,648,France,Male,38,10,82697.28,1,1,0,74846.67,0
508,15677307,Lo,684,Germany,Female,40,6,137326.65,1,1,0,186976.6,0
5495,15642821,Ijendu,383,Spain,Female,48,8,95808.19,1,0,0,137702.01,1
4678,15791780,Ts'ao,706,Germany,Female,48,10,104478.12,3,0,1,158248.71,1
4047,15806403,Hu,650,France,Male,37,9,0.0,2,1,0,17974.08,0
6698,15655389,Leckie,638,France,Male,41,1,131762.94,1,1,1,47675.29,0
4809,15610755,Napolitano,643,France,Female,33,0,137811.75,1,1,1,184856.89,0
7295,15623668,Johnson,653,Germany,Male,31,2,154741.45,2,0,0,25183.01,0
5871,15780142,Wang,632,France,Male,43,2,100013.51,1,1,0,24275.32,0
3789,15707110,Endrizzi,660,Germany,Male,28,2,170890.05,2,1,0,41758.9,0
786,15660155,Lorenzo,792,Spain,Male,36,5,92140.15,1,0,1,67468.67,0
2510,15689341,Gibbs,655,France,Female,50,10,0.0,4,1,0,179267.94,1
5661,15737133,P'eng,706,Spain,Male,68,4,114386.85,1,1,1,28601.68,0
8594,15722037,Alvarez,610,Germany,Male,36,7,115462.02,1,0,1,42581.04,0
1444,15598751,Ingram,556,France,Female,43,6,0.0,3,0,0,125154.57,1
6964,15595447,Tuan,613,Spain,Male,39,8,118201.41,1,1,0,23315.59,0
2593,15658956,Tuan,505,Germany,Male,40,6,47869.69,2,1,1,155061.97,0
475,15603156,Elewechi,571,France,Female,33,1,0.0,2,1,0,102750.7,0
2418,15800845,Artemieva,732,Spain,Female,33,8,111379.55,1,1,1,45098.62,0
8722,15689671,Packham,775,Spain,Male,27,4,0.0,1,1,1,40807.26,0
2174,15649738,White,698,France,Female,46,0,0.0,2,1,1,125962.02,0
9948,15732202,Abramovich,615,France,Male,34,1,83503.11,2,1,1,73124.53,1
1598,15656726,Ch'ien,771,France,Male,32,5,62321.62,1,1,1,40920.59,0
1819,15800517,Huang,633,Spain,Male,32,5,163340.12,2,1,1,74415.2,0
3130,15694453,Walker,631,Germany,Male,37,9,131519.49,2,1,1,51752.18,0
9939,15593496,Korovin,526,Spain,Female,36,5,91132.18,1,0,0,58111.71,0
8262,15570855,Leonard,670,France,Male,38,7,0.0,2,1,1,77864.41,0
2602,15616700,Leach,622,Spain,Female,41,9,0.0,2,1,1,155786.39,0
4892,15676958,Zito,765,Germany,Male,34,5,86055.17,2,1,1,104220.5,0
3580,15670943,See,778,Germany,Male,31,9,182275.23,2,1,0,190631.23,0
1447,15680855,Iloabuchi,637,France,Male,33,2,145731.83,1,0,1,109219.43,0
3597,15707199,Cooper,643,France,Male,36,0,148159.71,1,0,0,55835.66,0
2765,15597265,Mao,660,France,Male,38,7,0.0,2,0,1,146585.53,0
234,15723886,Fiore,767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0
5143,15778526,Bradshaw,719,Spain,Female,48,5,0.0,2,0,0,78563.66,0
309,15773972,Balashov,614,France,Male,50,4,137104.47,1,1,0,127166.49,1
6299,15755241,Rahman,714,France,Female,52,2,0.0,1,0,1,144045.08,1
4878,15573971,Mills,737,France,Male,44,7,0.0,2,0,0,57898.58,0
1120,15585241,Butcher,756,Spain,Male,29,2,117412.19,2,1,0,4888.91,0
3804,15651264,Yobanna,850,Germany,Male,51,4,124425.99,1,0,0,118545.49,1
5674,15572801,Krischock,639,Spain,Male,34,5,139393.19,2,0,0,33950.08,0
2701,15786200,Brock,564,France,Male,31,4,0.0,2,1,0,53520.03,0
4065,15689886,Holden,626,Germany,Male,39,10,132287.92,3,1,1,51467.92,1
759,15647099,Ts'ui,633,France,Female,37,9,156091.97,1,1,0,72008.61,0
7719,15670898,McKenzie,740,France,Female,60,5,108028.08,2,0,0,25980.42,1
153,15811589,Metcalfe,716,Spain,Male,42,8,0.0,2,1,0,180800.42,0
877,15581229,Gregory,502,Germany,Female,32,1,173340.83,1,0,1,122763.95,0
1477,15703399,McNeil,756,France,Female,26,5,101641.14,2,0,1,154460.68,0
1364,15789095,T'ang,775,Spain,Male,30,4,0.0,2,0,1,57461.13,0
6851,15579526,O'Meara,551,France,Male,42,1,50194.59,1,1,1,23399.58,0
6616,15792934,Carruthers,661,France,Male,26,8,0.0,2,0,0,196875.87,0
3585,15664227,Threatt,506,Germany,Male,28,8,53053.76,1,0,1,24577.34,0
3088,15715160,Khan,439,France,Male,36,2,165536.28,2,1,1,123956.83,0
760,15625944,Buccho,664,France,Male,58,5,98668.18,1,1,1,60887.58,0
2156,15725997,She,660,France,Female,35,6,100768.77,1,1,0,19199.61,0
5275,15709511,Watt,622,France,Male,43,8,0.0,2,1,0,100618.17,0
5876,15578307,Lucchese,512,France,Female,33,6,121685.31,2,1,1,83681.97,0
1046,15785980,Williford,588,Spain,Male,34,6,121132.26,2,1,0,86460.28,0
3768,15765952,Milanesi,769,France,Male,29,4,145471.37,1,1,0,188382.77,0
4706,15749489,Denisova,533,Germany,Female,22,10,115743.6,1,0,0,43852.05,0
7956,15644297,Austin,732,Germany,Male,38,5,178787.54,1,1,1,195760.53,0
6342,15658364,Laney,807,Germany,Female,40,1,134590.21,1,1,1,46253.65,0
6082,15813159,Hairston,526,France,Male,52,8,93590.47,1,0,1,21228.71,1
1578,15576714,Manna,687,Spain,Female,21,8,0.0,2,1,1,154767.34,0
4154,15664001,Riddle,695,Germany,Female,53,8,95231.91,1,0,0,70140.8,1
4876,15619616,Costa,571,France,Female,33,9,102017.25,2,0,0,128600.49,0
4872,15575858,Bergamaschi,763,France,Male,40,3,0.0,2,1,0,134281.11,0
9103,15810942,Chiemela,445,Germany,Female,61,2,137655.31,1,0,1,29909.84,0
2010,15732917,Li,729,Germany,Male,46,5,117837.43,1,1,0,104016.61,1
3765,15615820,MacDonald,837,France,Male,49,8,103302.37,1,1,1,50974.57,0
5748,15688128,Loggia,542,Spain,Male,34,8,108653.93,1,0,1,144725.14,0
7090,15690772,Hughes,635,Spain,Female,48,2,0.0,2,1,1,136551.25,0
3643,15569572,Sopuluchi,778,France,Male,42,6,0.0,2,1,1,106197.44,0
3821,15763148,Stanley,576,France,Male,39,9,84719.98,1,0,0,191063.36,0
8926,15805463,Board,682,Germany,Male,32,2,105163.88,2,1,1,164170.46,0
21,15577657,McDonald,732,France,Male,41,8,0.0,2,1,1,170886.17,0
2035,15634262,Fantin,709,Germany,Male,34,4,148375.19,2,1,1,21521.38,0
1005,15723685,Ekechukwu,601,Germany,Female,26,7,105514.69,2,1,0,50070.59,0
8678,15757829,Timperley,609,Germany,Female,40,10,137389.77,2,1,0,170122.22,0
2283,15642787,Ijendu,572,France,Male,37,1,133043.66,1,0,0,111243.09,0
9869,15587640,Rowntree,718,France,Female,43,0,93143.39,1,1,0,167554.86,0
8873,15626475,Gamble,685,France,Male,30,2,0.0,2,1,1,140889.32,0
7811,15771059,Welch,756,Germany,Female,34,2,148200.72,1,0,0,194584.48,0
502,15715941,Lueck,692,France,Male,54,5,0.0,2,1,1,88721.84,0
2437,15592645,Gibbons,704,Spain,Male,37,4,0.0,2,0,0,25684.93,0
6599,15677141,Turnbull,586,Spain,Male,29,2,132450.24,1,1,1,36176.63,0
4556,15733261,Kung,688,Spain,Female,35,6,0.0,1,1,0,25488.43,1
7908,15688157,Padovano,683,Germany,Female,39,2,47685.47,2,1,1,86019.48,0
8962,15676117,Zinachukwudi,603,France,Male,44,9,0.0,1,1,0,138328.24,0
2561,15711834,Long,650,Spain,Female,30,6,0.0,1,0,0,67997.13,1
7161,15745375,Nnanna,640,Germany,Male,23,3,72012.76,1,1,0,161333.13,0
9546,15570073,Marian,721,Spain,Male,57,1,0.0,1,1,1,195940.96,0
5422,15757661,Trevisano,589,France,Female,39,7,0.0,2,0,0,95985.64,0
6938,15711181,Clapp,589,France,Female,50,4,0.0,2,0,1,182076.97,0
2695,15721585,Blacklock,628,Germany,Male,29,3,113146.98,2,0,1,124749.08,0
4108,15643865,Lo Duca,601,France,Female,40,3,92055.36,1,0,1,164652.02,1
9508,15728885,Defalco,808,France,Male,41,0,0.0,1,1,1,79888.78,0
1102,15782219,Fanucci,703,Spain,Male,29,9,0.0,2,1,0,50679.48,0
8633,15759690,Smith,751,France,Male,42,4,0.0,2,1,1,81442.6,0
3124,15622171,Nnamdi,642,France,Male,30,8,80964.57,2,1,0,174738.2,0
9997,15569892,Johnstone,516,France,Male,35,10,57369.61,1,1,1,101699.77,0
6530,15728823,Sharwood,836,Spain,Female,37,10,0.0,2,1,0,111324.41,0
6508,15764253,Ramsey,742,France,Male,32,6,160485.16,1,1,0,29023.03,0
5869,15663817,Y?an,713,France,Male,46,5,0.0,1,1,1,55701.62,0
8452,15580043,Murray,575,Spain,Female,22,8,105229.34,1,1,1,34397.08,0
7770,15757473,Chukwujamuike,766,France,Female,27,7,158786.67,2,0,1,47579.25,0
8534,15768566,K?,706,France,Male,34,8,0.0,2,1,1,37479.97,0
5204,15633866,Hsiung,753,Germany,Male,30,1,110824.52,1,1,1,57896.27,0
290,15697307,Nnachetam,588,Spain,Male,34,10,0.0,2,1,0,79078.91,0
5209,15664737,Lei,779,Spain,Female,38,7,0.0,2,1,1,138542.87,0
1828,15740104,Tuan,425,Spain,Female,22,7,169649.73,2,0,1,136365.0,1
7403,15632010,Chia,647,Spain,Male,33,7,121260.19,2,1,0,77216.48,0
8525,15711750,Watson,711,France,Female,34,6,0.0,2,1,1,175310.38,0
2166,15585041,Ainsworth,511,France,Male,33,7,0.0,2,0,1,158313.87,0
8556,15638329,Uspensky,522,Germany,Male,25,1,111432.13,1,1,1,168683.57,0
7980,15627042,Reilly,555,France,Female,26,7,0.0,2,1,0,93122.41,0
3019,15811613,Voss,588,France,Female,27,8,0.0,1,1,0,20066.38,0
769,15724296,Kerr,684,Spain,Male,41,2,119782.72,2,0,0,120284.67,0
8555,15699095,Chandler,603,France,Female,24,3,0.0,1,1,1,198826.03,1
265,15700696,Kang,738,Spain,Male,31,9,79019.8,1,1,1,18606.23,0
8970,15622461,Ndubuagha,562,France,Female,51,7,122822.0,2,0,0,32626.21,0
7341,15578722,Bradley,689,France,Male,39,4,0.0,2,1,0,196112.45,0
